

   Tabela 4.3.13 - Produtos Sujeitos à Alíquota Zero da Contribuição Social
   (CST 06) - Versão 1.35 - Atualizada em 26/06/2026.

|Códig|Descrição do Produto                                   |NCM          |Início de  |Término de   |
|o    |                                                       |             |Escrituraçã|Escrituração |
|     |                                                       |             |o          |Mês/Ano      |
|     |serviço público de transporte ferroviário que consiga  |             |           |             |
|     |atingir velocidade igual ou superior a 250 km/h        |             |           |             |
|     |(duzentos e cinquenta quilômetros por hora).           |             |           |             |
|214  |Receitas decorrentes da prestação de serviços regulares|-            |31/05/2013 |             |
|     |de transporte coletivo municipal rodoviário,           |             |           |             |
|     |metroviário e ferroviário de passageiros, inclusive as |             |           |             |
|     |decorrentes da prestação dos referidos serviços no     |             |           |             |
|     |território de região metropolitana regularmente        |             |           |             |
|     |constituída.                                           |             |           |             |
|215  |Receita decorrente da prestação de serviços regulares  |-            |14/11/2014 |             |
|     |de transporte coletivo municipal rodoviário,           |             |           |             |
|     |metroviário, ferroviário e aquaviário de passageiros,  |             |           |             |
|     |alcançando as receitas decorrentes da prestação dos    |             |           |             |
|     |referidos serviços:                                    |             |           |             |
|     |no território de região metropolitana regularmente     |             |           |             |
|     |constituída; e                                         |             |           |             |
|     |conforme definidos nos incisos XI a XIII do art. 4o da |             |           |             |
|     |Lei no 12.587/2012.                                    |             |           |             |
|216  |Álcool, Inclusive para Fins Carburantes - Venda por    |-            |01/09/2013 |20/07/2017   |
|     |Distribuidor                                           |             |           |             |
|216  |Álcool, inclusive para fins carburantes - Venda por    |-            |01/03/2023 |30/06/2023   |
|     |Distribuidor                                           |             |           |             |
|216  |Álcool, inclusive para fins carburantes - Receita bruta|-            |01/05/2025 |             |
|     |de venda de Distribuidor, no caso de venda de etanol   |             |           |             |
|     |combustível.                                           |             |           |             |
|217  |Óleo Diesel                                            |2710.19.21   |01/03/2021 |30/04/2021   |
|217  |Óleo Diesel                                            |2710.19.21   |11/03/2022 |31/12/2022   |
|217  |Óleo Diesel - As operações no mercado interno ou sobre |2710.19.21   |01/01/2023 |31/12/2023   |
|     |importação                                             |             |           |             |
|217  |Óleo Diesel - As operações no mercado interno ou sobre |2710.19.21   |01/01/2023 |04/09/2023   |
|     |importação                                             |             |           |             |
|217  |Óleo Diesel - As operações no mercado interno ou sobre |2710.19.21   |04/10/2023 |31/12/2023   |
|     |importação                                             |             |           |             |
|218  |Correntes Destinadas Exclusivamente à Formulação de    |             |01/03/2021 |30/04/2021   |
|     |Óleo Diesel                                            |             |           |             |
|218  |Correntes Destinadas Exclusivamente à Formulação de    |             |11/03/2022 |31/12/2022   |
|     |Óleo Diesel                                            |             |           |             |
|218  |Correntes Destinadas Exclusivamente à Formulação de    |             |01/01/2023 |04/09/2023   |
|     |Óleo Diesel - As operações no mercado interno ou sobre |             |           |             |
|     |importação                                             |             |           |             |
|218  |Correntes Destinadas Exclusivamente à Formulação de    |             |04/10/2023 |31/12/2023   |
|     |Óleo Diesel - As operações no mercado interno ou sobre |             |           |             |
|     |importação                                             |             |           |             |
|219  |GLP* quando destinado ao uso doméstico e envasado em   |2711.19.10   |01/03/2021 |             |
|     |recipientes de até treze quilogramas.                  |             |           |             |
|220  |Biodiesel - As operações no mercado interno ou sobre   |3826.00.00   |11/03/2022 |31/12/2022   |
|     |importação                                             |             |           |             |
|220  |Biodiesel - As operações no mercado interno ou sobre   |3826.00.00   |01/01/2023 |04/09/2023   |
|     |importação                                             |             |           |             |
|220  |Biodiesel - As operações no mercado interno ou sobre   |3826.00.00   |04/10/2023 |31/12/2023   |
|     |importação                                             |             |           |             |
|220  |Biodiesel - As operações no mercado interno ou sobre   |3826.00.00   |07/04/2026 |31/05/2026   |
|     |importação                                             |             |           |             |
|220  |Biodiesel - As operações no mercado interno ou sobre   |3826.00.00   |07/04/2026 |31/07/2026   |
|     |importação                                             |             |           |             |
|221  |Querosene de Aviação                                   |2710.19.11   |11/03/2022 |31/12/2022   |
|221  |Querosene de Aviação - As operações no mercado interno |2710.19.11   |01/01/2023 |28/02/2023   |
|     |ou sobre importação                                    |             |           |             |
|221  |Querosene de Aviação - As operações no mercado interno |2710.19.11   |01/03/2023 |30/06/2023   |
|     |ou sobre importação                                    |             |           |             |
|222  |Gás Liquefeito de Petróleo - GLP derivado de petróleo e|             |11/03/2022 |31/12/2022   |
|     |de gás natural.                                        |             |           |             |
|222  |Gás Liquefeito de Petróleo - GLP derivado de petróleo e|             |01/01/2023 |31/12/2023   |
|     |de gás natural - as operações no mercado interno ou    |             |           |             |
|     |sobre importação.                                      |             |           |             |
|223  |Receitas decorrentes da venda de produtos classificados|             |06/10/2015 |             |
|     |no Ex 01 do código 8503.00.90 da Tipi, exceto pás      |             |           |             |
|     |eólicas. utilizados exclusiva ou principalmente em     |             |           |             |
|     |aerogeradores classificados no código 8502.31.00 da    |             |           |             |
|     |Tipi.                                                  |             |           |             |
|224  |Receita ou o faturamento na venda ou sobre a importação|2711.11.00 ou|23/06/2022 |31/12/2022   |
|     |de gás natural veicular - GNV classificado nos códigos |2711.21.00   |           |             |
|     |2711.11.00 ou 2711.21.00 da NCM                        |             |           |             |
|224  |Receita ou o faturamento na venda ou sobre a importação|2711.11.00 ou|01/01/2023 |28/02/2023   |
|     |de gás natural veicular - GNV classificado nos códigos |2711.21.00   |           |             |
|     |2711.11.00 ou 2711.21.00 da NCM                        |             |           |             |
|224  |Receita ou o faturamento na venda ou sobre a importação|2711.11.00 ou|01/03/2023 |30/06/2023   |
|     |de gás natural veicular - GNV classificado nos códigos |2711.21.00   |           |             |
|     |2711.11.00 ou 2711.21.00 da NCM                        |             |           |             |
|225  |As operações no mercado interno ou sobre importação que|             |23/06/2022 |31/12/2022   |
|     |envolvam gasolina e suas correntes, exceto de aviação. |             |           |             |
|225  |As operações no mercado interno ou sobre importação que|             |01/01/2023 |28/02/2023   |
|     |envolvam gasolina e suas correntes, exceto de aviação. |             |           |             |
|226  |As operações no mercado interno e importação que       |             |23/06/2022 |31/12/2022   |
|     |envolvam etanol, inclusive para fins carburantes.      |             |           |             |
|226  |As operações no mercado interno ou importação que      |             |01/01/2023 |28/02/2023   |
|     |envolvam etanol, inclusive para fins carburantes.      |             |           |             |
|227  | As receitas decorrentes da atividade de transporte    |             |01/01/2023 |31/12/2026   |
|     |aéreo regular de passageiros. (Art. 2º, § 2º, da MP nº |             |           |             |
|     |1.147/22)                                              |             |           |             |
|228  |Programa Mover - As receitas e ganhos líquidos do Fundo|             |27/06/2024 |             |
|     |Nacional de Desenvolvimento Industrial e Tecnológico   |             |           |             |
|     |(FNDIT).                                               |             |           |             |
|229  |Biodiesel - importação                                 |3826.00.00   |07/04/2026 |31/05/2026   |
|229  |Biodiesel - importação                                 |3826.00.00   |07/04/2026 |31/07/2026   |
|300  |SAÚDE: PRODUTOS QUIMICOS, APARELHOS ORTOPÉDICOS,       |             |           |             |
|     |PRODUTOS DESTINADOS A PORTADORES DE NECESSIDADES       |             |           |             |
|     |ESPECIAIS, OUTROS                                      |             |           |             |
|301  |Produtos classificados na posição 87.13 da NCM         |87.13        |01/2011    |             |
|     |(cadeiras de rodas e outros veículos)                  |             |           |             |
|302  |Artigos e aparelhos ortopédicos ou para fraturas       |90.21.10     |01/2011    |             |
|     |classificados no código 90.21.10 da NCM                |             |           |             |
|303  |Artigos e aparelhos de próteses classificados no código|90.21.3      |01/2011    |             |
|     |90.21.3 da NCM                                         |             |           |             |
|304  |Almofadas antiescaras classificadas nos Capítulos 39,  |-            |01/2011    |             |
|     |40, 63 e 94 da NCM                                     |             |           |             |
|305  |Bens relacionados em ato do Poder Executivo para       |-            |01/2011    |             |
|     |aplicação nas Unidades Modulares de Saúde de que trata |             |           |             |
|     |o Convênio ICMS no 114/2009 quando vendidos a órgãos da|             |           |             |
|     |administração pública direta federal, estadual,        |             |           |             |
|     |distrital e municipal                                  |             |           |             |
|306  |Produtos químicosclassificados no Capítulo 29 da       |-            |01/2011    |             |
|     |Nomenclatura Comum do Mercosul - NCM                   |             |           |             |
|307  |Produtos químicos intermediários de síntese,           |-            |01/2011    |             |
|     |classificados no Capítulo 29 da NCM                    |             |           |             |
|308  |Produtos destinados ao uso em hospitais, clínicas e    |-            |01/2011    |             |
|     |consultórios médicos e odontológicos, campanhas de     |             |           |             |
|     |saúde realizadas pelo poder público, laboratório de    |             |           |             |
|     |anatomia patológica, citológica ou de análises         |             |           |             |
|     |clínicas, classificados nas posições 30.02, 30.06,     |             |           |             |
|     |39.26, 40.15 e 90.18, da NCM                           |             |           |             |
|309  |Produtos classificados nos códigos 8443.32.22,         |8443.32.22,  |18/11/2011 |17/05/2012   |
|     |8469.00.39 Ex 01, 8714.20.00, e 9021.40.00, todos da   |8469.00.39 Ex|           |             |
|     |TIPI                                                   |01,          |           |             |
|     |                                                       |8714.20.00, e|           |             |
|     |                                                       |9021.40.00   |           |             |
|309  |Produtos classificados nos códigos 8443.32.22,         |8443.32.22,  |18/05/2012 |             |
|     |8469.00.39 Ex 01, 8714.20.00, 9021.40.00, 9021.90.82 e |8469.00.39 Ex|           |             |
|     |9021.90.92, todos da Tipi                              |01,          |           |             |
|     |                                                       |8714.20.00,  |           |             |
|     |                                                       |9021.40.00,  |           |             |
|     |                                                       |9021.90.82 e |           |             |
|     |                                                       |9021.90.92   |           |             |
|310  |Calculadoras equipadas com sintetizador de voz         |-            |18/11/2011 |17/05/2012   |
|     |classificadas no código 8470.10.00 da TIPI             |             |           |             |
|310  |Calculadoras equipadas com sintetizador de voz         |8470.10.00 Ex|18/05/2012 |             |
|     |classificadas no código 8470.10.00 Ex 01 da TIPI       |01           |           |             |
|311  |Teclados com colmeia classificados no código 8471.60.52|-            |18/11/2011 |             |
|     |da TIPI                                                |             |           |             |
|312  |Indicadores ou apontadores - mouses - com entrada para |-            |18/11/2011 |             |
|     |acionador classificados no código 8471.60.53 da TIPI   |             |           |             |
|313  |Linhas braile classificadas no código 8471.60.90 da    |-            |18/11/2011 |17/05/2012   |
|     |TIPI                                                   |             |           |             |
