

4.3.16 - Tabela Operações com Suspensão da Contribuição Social (CST 09) -
Atualizada em 28/04/2026:

|Código |Descrição do Produto                              |NCM              |Início de |Término de|
|       |                                                  |                 |Escrituraç|Escrituraç|
|       |                                                  |                 |ão        |ão        |
|       |                                                  |                 |Mês/Ano   |Mês/Ano   |
|206    |Venda por PJ que exerça atividade agropecuária ou |-                |01/2011   |          |
|       |por cooperativa de produção agropecuária de       |                 |          |          |
|       |produto in natura de origem vegetal destinado à   |                 |          |          |
|       |elaboração de mercadorias classificadas no código |                 |          |          |
|       |22.04, da NCM                                     |                 |          |          |
|207    |Venda de animais vivos classificados na posição   |-                |01/2011   |07/03/2013|
|       |01.02, à pessoa jurídica que produza mercadoria   |                 |          |          |
|       |classificada nas posições 02.01, 02.02,           |                 |          |          |
|       |02.06.10.00, 02.06.20, 02.06.21, 02.06.29,        |                 |          |          |
|       |0210.20.00,  05.06.90.00, 05.10.00.10 e 15.02.00.1|                 |          |          |
|       |da NCM                                            |                 |          |          |
|207    |Venda de animais vivos classificados nas posições |                 |08/03/2013|          |
|       |01.02 e 01.04 à pessoa jurídica que produza       |                 |          |          |
|       |mercadorias classificadas nos códigos 02.01,      |                 |          |          |
|       |02.02, 02.04, 0206.10.00, 0206.20, 0206.21,       |                 |          |          |
|       |0206.29, 0206.80.00, 0210.20.00, 0506.90.00,      |                 |          |          |
|       |0510.00.10 e 1502.00.1 da NCM                     |                 |          |          |
|208    |Vendas de produtos classificados nas posições     |-                |01/2011   |26/06/2011|
|       |02.01, 02.02, 0206.10.00, 0206.20, 0206.21,       |                 |          |          |
|       |0206.29, 0210.20.00, 0506.90.00, 0510.00.10 e     |                 |          |          |
|       |1502.00.1, quando efetuadas por pessoa jurídica   |                 |          |          |
|       |que industrialize bens e produtos classificados   |                 |          |          |
|       |nas posições 01.02, 02.01 e 02.02 da NCM          |                 |          |          |
|208    |Vendas de produtos classificados nas posições     |-                |27/06/2011|01/09/2013|
|       |02.01, 02.02, 0206.10.00, 0206.20, 0206.21,       |                 |          |          |
|       |0206.29, 0210.20.00, 0506.90.00, 0510.00.10 e     |                 |          |          |
|       |1502.00.1, quando efetuadas por pessoa jurídica   |                 |          |          |
|       |que revenda tais produtos ou que industrialize    |                 |          |          |
|       |bens e produtos classificados nas posições 01.02, |                 |          |          |
|       |02.01 e 02.02 da NCM                              |                 |          |          |
|209    |Receita bruta da venda, no mercado interno, de:   |-                |01/2011   |26/06/2011|
|       |I - insumos de origem vegetal, classificados nas  |                 |          |          |
|       |posições 10.01 a 10.08, exceto os dos códigos     |                 |          |          |
|       |1006.20 e 1006.30, e nas posições 12.01, 23.04 e  |                 |          |          |
|       |23.06 da Nomenclatura Comum do Mercosul (NCM),    |                 |          |          |
|       |quando efetuada por pessoa jurídica, inclusive    |                 |          |          |
|       |cooperativa, vendidos:                            |                 |          |          |
|       |a) para pessoas jurídicas que produzam mercadorias|                 |          |          |
|       |classificadas nos códigos 02.03, 0206.30.00,      |                 |          |          |
|       |0206.4, 02.07 e 0210.1 da NCM;                    |                 |          |          |
|       |b) para pessoas jurídicas que produzam preparações|                 |          |          |
|       |dos tipos utilizados na alimentação de animais    |                 |          |          |
|       |vivos classificados nas posições 01.03 e 01.05,   |                 |          |          |
|       |classificadas no código 2309.90 da NCM; e         |                 |          |          |
|       |c) para pessoas físicas;                          |                 |          |          |
|       |II - preparações dos tipos utilizados na          |                 |          |          |
|       |alimentação de animais vivos classificados nas    |                 |          |          |
|       |posições 01.03 e 01.05, classificadas no código   |                 |          |          |
|       |2309.90 da NCM;                                   |                 |          |          |
