





   Tabela 4.3.11 - Produtos Sujeitos a Alíquotas por Unidade de Medida de
   Produto: Incidência Monofásica ou por Pauta (Bebidas Frias) - (CST 03 e
   04)


|      |Descrição do Produto     |NCM                  |Unidade  |Alíquotas          |Início de |Término de|
|Código|                         |                     |de Medida|em Reais           |Escrituraç|Escrituraç|
|      |                         |                     |         |                   |ão        |ão        |
|      |                         |                     |         |                   |Mês/Ano   |Mês/Ano   |
|      |                         |                     |         |PIS/PASEP|COFINS   |          |          |
|      |Matérias-Primas          |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|      |Produzidas nas Regiões   |                     |         |         |         |          |          |
|      |Norte, Nordeste e        |                     |         |         |         |          |          |
|      |Semi-Árido****           |                     |         |         |         |          |          |
|110   |Biodiesel de             |3826.00.00           |Metro    |8,38     |38,80    |01/10/2023|03/10/2023|
|      |Matérias-Primas          |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|      |Produzidas nas Regiões   |                     |         |         |         |          |          |
|      |Norte, Nordeste e        |                     |         |         |         |          |          |
|      |Semi-Árido****           |                     |         |         |         |          |          |
|110   |Biodiesel de             |3826.00.00           |Metro    |22,48    |103,51   |01/01/2024|06/04/2026|
|      |Matérias-Primas          |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|      |Produzidas nas Regiões   |                     |         |         |         |          |          |
|      |Norte, Nordeste e        |                     |         |         |         |          |          |
|      |Semi-Árido****           |                     |         |         |         |          |          |
|111   |Biodiesel de             |3824.90.29           |Metro    |12,4900  |57,5300  |01/2011   |12/2011   |
|      |Matérias-Primas          |3824.90.29 Ex 01     |Cúbico   |         |         |          |          |
|      |Adquiridas de Agricultor |                     |         |         |         |          |          |
|      |Familiar Enquadrado no   |                     |         |         |         |          |          |
|      |PRONAF                   |                     |         |         |         |          |          |
|111   |Biodiesel de             |3826.00.00           |Metro    |12,4900  |57,5300  |01/2012   |27/06/2012|
|      |Matérias-Primas          |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|      |Adquiridas de Agricultor |                     |         |         |         |          |          |
|      |Familiar Enquadrado no   |                     |         |         |         |          |          |
|      |PRONAF                   |                     |         |         |         |          |          |
|111   |Biodiesel de             |3826.00.00           |Metro    |10,39    |47,85    |28/06/2012|10/03/2022|
|      |Matérias-Primas          |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|      |Adquiridas de Agricultor |                     |         |         |         |          |          |
|      |Familiar Enquadrado no   |                     |         |         |         |          |          |
|      |PRONAF****               |                     |         |         |         |          |          |
|111   |Biodiesel de             |3826.00.00           |Metro    |3,25     |14,97    |05/09/2023|30/09/2023|
|      |Matérias-Primas          |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|      |Adquiridas de Agricultor |                     |         |         |         |          |          |
|      |Familiar Enquadrado no   |                     |         |         |         |          |          |
|      |PRONAF****               |                     |         |         |         |          |          |
|111   |Biodiesel de             |3826.00.00           |Metro    |3,88     |17,96    |01/10/2023|03/10/2023|
|      |Matérias-Primas          |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|      |Adquiridas de Agricultor |                     |         |         |         |          |          |
|      |Familiar Enquadrado no   |                     |         |         |         |          |          |
|      |PRONAF****               |                     |         |         |         |          |          |
|111   |Biodiesel de             |3826.00.00           |Metro    |10,39    |47,85    |01/01/2024|06/04/2026|
|      |Matérias-Primas          |3826.00.00 Ex 01     |Cúbico   |         |         |          |          |
|      |Adquiridas de Agricultor |                     |         |         |         |          |          |
|      |Familiar Enquadrado no   |                     |         |         |         |          |          |
|      |PRONAF****               |                     |         |         |         |          |          |
|112   |Álcool, Inclusive para   |2207.10.00           |Metro    |8,57     |39,43    |01/2011   |08/2013   |
|      |Fins Carburantes - Venda |2207.20.10           |Cúbico   |         |         |          |          |
|      |por Produtor ou          |2208.90.00 Ex 01     |         |         |         |          |          |
|      |Importador               |                     |         |         |         |          |          |
|112   |Álcool, Inclusive para   |2207.10              |Metro    |21,43    |98,57    |09/2013   |20/07/2017|
|      |Fins Carburantes - Venda |2207.20.1            |Cúbico   |         |         |          |          |
|      |por Produtor ou          |2208.90.00 Ex 01     |         |         |         |          |          |
|      |Importador               |                     |         |         |         |          |          |
|112                                                                                                      |
|600   |BEBIDAS FRIAS - Nova Tributação sobre "pauta mínima" (conforme art. 33 e Anexo I da Lei nº        |
|      |13.097/2015) Fatos Geradores a partir de 01.05.2015                                               |
|Código                                                                                                   |
|700   |EMBALAGENS DE BEBIDAS FRIAS                                                                       |
|701   |Embalagens de Vidro não  |7010.90.21           |Litro    |0,0162   |0,0748   |01/2011   |30/04/2015|
|      |Retornáveis para         |                     |         |         |         |          |          |
|      |Refrigerantes ou Cervejas|                     |         |         |         |          |          |
|703   |Garrafas e Garrafões com |3923.30.00           |Litro    |0,0094   |0,0431   |01/2011   |30/04/2015|
|      |Capacidade Nominal de    |                     |         |         |         |          |          |
|      |Envasamento Inferior a 10|                     |         |         |         |          |          |
|      |Litros                   |                     |         |         |         |          |          |
|704   |Garrafas e Garrafões com |3923.30.00           |Litro    |0,0046   |0,0212   |01/2011   |30/04/2015|
|      |Capacidade Nominal de    |                     |         |         |         |          |          |
|      |Envasamento Igual ou     |                     |         |         |         |          |          |
|      |Superior a 10 Litros     |                     |         |         |         |          |          |
|705   |Lata de Aço para         |7310.21.10           |Litro    |0,0094   |0,0431   |01/2011   |27/03/2011|
|      |Refrigerantes, Cervejas  |                     |         |         |         |          |          |
|      |sem Álcool ou Água       |                     |         |         |         |          |          |
|705   |Lata de Aço para         |7310.21.10           |Litro    |0,0114   |0,0529   |28/03/2011|30/04/2015|
|      |Refrigerantes, Cervejas  |                     |         |         |         |          |          |
|      |sem Álcool ou Água       |                     |         |         |         |          |          |
|706   |Lata de Aço para Cervejas|7310.21.10           |Litro    |0,0162   |0,0748   |01/2011   |30/04/2015|
|      |de Malte                 |                     |         |         |         |          |          |
|707   |Lata de Alumínio para    |7612.90.19           |Litro    |0,0094   |0,0431   |01/2011   |27/03/2011|
|      |Refrigerantes, Cervejas  |                     |         |         |         |          |          |
|      |sem Álcool ou Água       |                     |         |         |         |          |          |
|707   |Lata de Alumínio para    |7612.90.19           |Litro    |0,0114   |0,0529   |28/03/2011|30/04/2015|
|      |Refrigerantes, Cervejas  |                     |         |         |         |          |          |
|      |sem Álcool ou Água       |                     |         |         |         |          |          |
|708   |Lata de Alumínio para    |7612.90.19           |Litro    |0,0162   |0,0748   |01/2011   |30/04/2015|
|      |Cervejas de Malte        |                     |         |         |         |          |          |
|709   |Pré-Formas de Embalagens |3923.30.00 Ex 01     |Unidade  |0,0056   |0,0259   |01/2011   |30/04/2015|
|      |com Faixa de Gramatura de|                     |         |         |         |          |          |
|      |até 30 g                 |                     |         |         |         |          |          |
|710   |Pré-Formas de Embalagens |3923.30.00 Ex 01     |Unidade  |0,0140   |0,0647   |01/2011   |30/04/2015|
|      |com Faixa de Gramatura   |                     |         |         |         |          |          |
|      |Acima de 30 até 42 g     |                     |         |         |         |          |          |
|712   |Pré-Formas de Embalagens |3923.30.00 Ex 01     |Unidade  |0,0187   |0,0862   |01/2011   |30/04/2015|
|      |com Faixa de Gramatura   |                     |         |         |         |          |          |
|      |Acima de 42 g            |                     |         |         |         |          |          |
|EMBALAGENS DE BEBIDAS FRIAS - PESSOA JURÍDICA ENQUADRADA NO REGIME ESPECIAL (REFRI) E CUJOS EQUIPAMENTOS |
|CONTADORES DE PRODUÇÃO ESTEJAM OPERANDO EM NORMAL FUNCIONAMENTO                                          |
|751   |Embalagens de Vidro não  |7010.90.21           |Litro    |0,0038   |0,0177   |28/03/2011|30/04/2015|
|      |Retornáveis para         |                     |         |         |         |          |          |
